time,ëO„¯çúãÿ
150,-0.009367466
151,-0.006691456
152,-0.01204395
153,-0.01204395
154,-0.009367466
155,-0.009367466
156,-0.01204395
157,-0.01204395
158,-0.009367466
159,-0.01472044
160,-0.01739693
161,-0.01204395
162,-0.01739693
163,-0.01739693
164,-0.02810287
165,-0.01739693
166,-0.01739693
167,-0.01739693
168,-0.01472044
169,-0.02007341
170,-0.0227499
171,-0.0227499
172,-0.0227499
173,-0.0227499
174,-0.02810287
175,-0.02810287
176,-0.02810287
177,-0.03345537
178,-0.02810287
179,-0.02542591
180,-0.02542591
181,-0.02810287
182,-0.02007341
183,-0.02007341
184,-0.02542591
185,-0.03077888
186,-0.03077888
187,-0.03613186
188,-0.03613186
189,-0.04148436
190,-0.03613186
191,-0.03345537
192,-0.03345537
193,-0.03613186
194,-0.04148436
195,-0.02810287
196,-0.001338482
197,-0.01472044
198,-0.0227499
199,-0.03613186
200,-0.02810287
201,-0.02007341
202,-0.01472044
203,-0.01472044
204,-0.01472044
205,-0.01472044
206,-0.01739693
207,-0.0227499
208,-0.02542591
209,-0.0227499
210,-0.02542591
211,-0.03077888
212,-0.03880835
213,-0.04416132
214,-0.03077888
215,-0.02810287
216,-0.01204395
217,-0.001338482
218,-0.006691456
219,-0.01204395
220,-0.01739693
221,-0.01739693
222,-0.01472044
223,-0.0227499
224,-0.03613186
225,-0.02542591
226,-0.0227499
227,-0.0227499
228,-0.02007341
229,-0.02007341
230,-0.006691456
231,-0.006691456
232,-0.009367466
233,-0.01204395
234,-0.02007341
235,-0.02007341
236,-0.01739693
237,-0.01472044
238,-0.02007341
239,-0.01472044
240,-0.01204395
241,-0.01472044
242,-0.01204395
243,-0.009367466
244,-0.01472044
245,-0.01472044
246,-0.02007341
247,-0.0227499
248,-0.01472044
249,-0.02007341
250,-0.02007341
251,-0.0227499
252,-0.0227499
253,-0.02542591
254,-0.03613186
255,-0.03345537
256,-0.01739693
257,-0.02810287
258,-0.02542591
259,-0.0227499
260,-0.02007341
261,-0.0227499
262,-0.01472044
263,-0.01472044
264,-0.01739693
265,-0.02810287
266,-0.02810287
267,-0.01739693
268,-0.02007341
269,-0.02542591
270,-0.03345537
271,-0.03077888
272,-0.03077888
273,-0.03345537
274,-0.03077888
275,-0.02542591
276,-0.0227499
277,-0.02542591
278,-0.0227499
279,-0.02007341
280,-0.0227499
281,-0.02810287
282,-0.02542591
283,-0.02007341
284,-0.0521903
285,-0.06557274
286,-0.07895517
287,-0.0736022
288,-0.009367466
289,0.1083956
290,0.01472044
291,-0.01472044
292,-0.0227499
293,-0.01739693
294,-0.02007341
295,-0.01204395
296,-0.01204395
297,-0.02007341
298,-0.0227499
299,-0.0227499
300,-0.03077888
301,-0.02542591
302,-0.02007341
303,-0.02542591
304,-0.02810287
305,-0.02810287
306,-0.02810287
307,-0.0227499
308,-0.0227499
309,-0.02007341
310,-0.0227499
311,-0.02542591
312,-0.0227499
313,-0.0227499
314,-0.02542591
315,-0.02542591
316,-0.0227499
317,-0.0227499
318,-0.0227499
319,-0.01739693
320,-0.01739693
321,-0.01739693
322,-0.02007341
323,-0.0227499
324,-0.02810287
325,-0.0227499
326,-0.02007341
327,-0.02007341
328,-0.01739693
329,-0.01472044
330,-0.02007341
331,-0.02810287
332,-0.0227499
333,-0.02007341
334,-0.01739693
335,-0.0227499
336,-0.02810287
337,-0.02542591
338,-0.0227499
339,-0.02810287
340,-0.02810287
341,-0.02542591
342,-0.02007341
343,-0.02007341
344,-0.02810287
345,-0.009367466
346,-0.01472044
347,-0.02542591
348,-0.02542591
349,-0.01472044
350,-0.001338482
351,-0.001338482
352,-0.01204395
353,-0.01739693
354,-0.04148436
355,-0.06021976
356,-0.0521903
357,-0.03880835
358,-0.02810287
359,-0.02810287
360,-0.0227499
361,-0.02007341
362,-0.0227499
363,-0.01739693
364,-0.01739693
365,-0.01739693
366,-0.02007341
367,-0.03077888
368,-0.03613186
369,-0.02542591
370,-0.01739693
371,-0.01204395
372,-0.01739693
373,-0.01739693
374,-0.03077888
375,-0.0227499
376,-0.01204395
377,-0.01739693
